N_operations,F_op,F_sequence
0,0.9999,1.0
20,0.9999,0.9980018988604845
40,0.9999,0.9960077901291329
60,0.9999,0.9940176658287095
80,0.9999,0.9920315179979188
100,0.9999,0.9900493386913719
120,0.9999,0.9880711199795562
140,0.9999,0.9860968539488028
160,0.9999,0.984126532701255
180,0.9999,0.9821601483548373
200,0.9999,0.9801976930432228
220,0.9999,0.9782391589158028
240,0.9999,0.9762845381376545
260,0.9999,0.9743338228895103
280,0.9999,0.9723870053677264
300,0.9999,0.9704440777842511
320,0.9999,0.9685050323665944
340,0.9999,0.9665698613577963
360,0.9999,0.964638557016396
380,0.9999,0.962711111616401
400,0.9999,0.9607875174472561
420,0.9999,0.9588677668138126
440,0.9999,0.9569518520362973
460,0.9999,0.9550397654502821
480,0.9999,0.9531314994066533
500,0.9999,0.9512270462715808
520,0.9999,0.9493263984264877
540,0.9999,0.9474295482680196
560,0.9999,0.9455364882080147
580,0.9999,0.9436472106734729
600,0.9999,0.9417617081065256
620,0.9999,0.939879972964406
640,0.9999,0.9380019977194181
660,0.9999,0.9361277748589072
680,0.9999,0.9342572968852295
700,0.9999,0.9323905563157225
720,0.9999,0.9305275456826747
740,0.9999,0.9286682575332956
760,0.9999,0.9268126844296866
780,0.9999,0.9249608189488102
800,0.9999,0.9231126536824614
820,0.9999,0.9212681812372374
840,0.9999,0.9194273942345079
860,0.9999,0.9175902853103863
880,0.9999,0.9157568471156993
900,0.9999,0.9139270723159584
920,0.9999,0.9121009535913298
940,0.9999,0.9102784836366059
960,0.9999,0.9084596551611752
980,0.9999,0.9066444608889939
1000,0.9999,0.9048328935585562
0,0.9995,1.0
20,0.9995,0.9900473578023297
40,0.9995,0.9801937706913743
60,0.9995,0.9704382528072977
80,0.9995,0.9607798281021743
100,0.9995,0.9512175302423342
120,0.9995,0.9417504025116806
140,0.9995,0.9323774977159699
160,0.9995,0.9230978780880437
180,0.9995,0.9139106151940047
200,0.9995,0.904814789840326
220,0.9995,0.895809491981885
240,0.9995,0.8868938206309125
260,0.9995,0.8780668837668483
280,0.9995,0.8693277982470935
300,0.9995,0.8606756897186516
320,0.9995,0.8521096925306487
340,0.9995,0.8436289496477244
360,0.9995,0.8352326125642842
380,0.9995,0.8269198412196064
400,0.9995,0.8186898039137933
420,0.9995,0.8105416772245585
440,0.9995,0.8024746459248429
460,0.9995,0.7944879029012508
480,0.9995,0.7865806490732972
500,0.9995,0.7787520933134594
520,0.9995,0.7710014523680238
540,0.9995,0.7633279507787207
560,0.9995,0.7557308208051392
580,0.9995,0.7482093023479139
600,0.9995,0.7407626428726767
620,0.9995,0.7333900973347642
640,0.9995,0.7260909281046768
660,0.9995,0.7188644048942766
680,0.9995,0.7117098046837227
700,0.9995,0.7046264116491318
720,0.9995,0.6976135170909595
740,0.9995,0.6906704193630949
760,0.9995,0.6837964238026591
780,0.9995,0.6769908426605047
800,0.9995,0.6702529950324054
820,0.9995,0.6635822067909309
840,0.9995,0.6569778105180004
860,0.9995,0.6504391454381059
880,0.9995,0.643965557352202
900,0.9995,0.6375563985722522
920,0.9995,0.6312110278564272
940,0.9995,0.6249288103449485
960,0.9995,0.6187091174965695
980,0.9995,0.6125513270256898
1000,0.9995,0.606454822840095
0,0.999,1.0
20,0.999,0.9801888648295347
40,0.999,0.9607702107358118
60,0.999,0.9417362622231682
80,0.999,0.9230793978373362
100,0.999,0.9047921471137089
120,0.999,0.8868671875860638
140,0.999,0.8692973418545458
160,0.999,0.8520755747117391
180,0.999,0.8351949903256729
200,0.999,0.8186488294786356
220,0.999,0.8024304668606911
240,0.999,0.7865334084168143
260,0.999,0.770951288746582
280,0.999,0.755677868555379
300,0.999,0.7407070321560992
320,0.999,0.7260327850203405
340,0.999,0.7116492513781132
360,0.999,0.6975506718651009
380,0.999,0.6837314012165325
400,0.999,0.6701859060067401
420,0.999,0.6569087624334998
440,0.999,0.6438946541462667
460,0.999,0.6311383701174349
480,0.999,0.6186348025557713
500,0.999,0.6063789448611847
520,0.999,0.5943658896200157
540,0.999,0.5825908266400397
560,0.999,0.5710490410244007
580,0.999,0.5597359112837017
600,0.999,0.5486469074854967
620,0.999,0.5377775894404437
640,0.999,0.527123604924392
660,0.999,0.516680687935692
680,0.999,0.506444656987029
700,0.999,0.49641141343109896
720,0.999,0.4865769398194537
740,0.999,0.47693729829385917
760,0.999,0.467488629009523
780,0.999,0.45822714858955976
800,0.999,0.4491491486100751
820,0.999,0.4402509941152615
840,0.999,0.4315291221619123
860,0.999,0.42298004039277043
880,0.999,0.41460032563814037
900,0.999,0.4063866225452042
920,0.999,0.3983356422344923
940,0.999,0.39044416098297063
960,0.999,0.38270901893321807
980,0.999,0.3751271188281759
1000,0.999,0.36769542477096373
0,0.998,1.0
20,0.998,0.9607509570263427
40,0.998,0.9230424014270334
60,0.998,0.886813870546916
80,0.998,0.8520072748321847
100,0.998,0.8185668046884277
120,0.998,0.7864388409944022
140,0.998,0.7555718691280597
160,0.998,0.7259163963669659
180,0.998,0.6974248725306764
200,0.998,0.6700516137378225
220,0.998,0.6437527291556583
240,0.998,0.6184860506246187
260,0.998,0.5942110650450455
280,0.998,0.5708888494176698
300,0.998,0.5484820084336939
320,0.998,0.5269546145144021
340,0.998,0.5062721502041593
360,0.998,0.4864014528244303
380,0.998,0.4673106613000749
400,0.998,0.44896916507266005
420,0.998,0.4313475550188762
440,0.998,0.41441757629535836
460,0.998,0.39815208303430294
480,0.998,0.3825249948172384
500,0.998,0.3675112548571586
520,0.998,0.35308678982196723
540,0.998,0.33922847123481414
